Congruency,ImageFile,CalorieLabels,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,jitter.started,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.012613099999725819,0.02788059995509684,0.02788059995509684,1.913228099932894,space,1.859671299927868,None,,,,231411,001,2025-09-13_02h38.02.047,stroop_alimentario,2024.2.4,60.07413148324002,2025-09-13 02h38.08.355263 -0300,
incongruente,/images/ESPARRAGOS.png,altas calorias,0,0,0,0,0,0,56,1.942843799944967,,,,,,,,,1.9253808999201283,1.942843799944967,2.4148328999290243,,,,,,,,
