Congruency,ImageFile,CalorieLabels,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,jitter.started,etRecord.started,trial.stopped,food1.started,image.started,key_resp_3.started,text_4.started,text_4.stopped,food1.stopped,trials.key_resp_3.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,blank.started,text.started,blank.stopped,Thanks.started,text_3.started,key_resp_2.started,Thanks.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.024761199951171875,0.03903320000972599,0.03903320000972599,1.6449742000550032,space,1.597076200065203,None,,,,,,,,,,,,,,,,,,,,,,,,530925,001,2025-09-13_11h40.57.798,stroop_alimentario,2024.2.4,60.41576926997296,2025-09-13 11h41.07.275260 -0300,
congruente,images/APIO.png,bajas calorias,0,0,0,j,0.5028287000022829,0.07592640002258122,0,0,0,0,1.671523500001058,,,,,,,,,1.649552799994126,1.671523500001058,0.004549599951133132,2.1573670000070706,2.1715155000565574,2.2036892999894917,2.2036892999894917,2.2036892999894917,3.220060999970883,4.156991100055166,j,0.5028287000022829,0.07592640002258122,4.157063000020571,4.1703255999600515,5.157326000044122,,,,,,,,530925,001,2025-09-13_11h40.57.798,stroop_alimentario,2024.2.4,60.41576926997296,2025-09-13 11h41.07.275260 -0300,
congruente,images/ARROZ.png,bajas calorias,1,1,0,f,0.8582579999929294,0.09037610003724694,0,1,1,1,5.167567100026645,,,,,,,,,5.157524900045246,5.167567100026645,0.012521399999968708,5.653054199996404,5.6667384000029415,5.684517299989238,5.684517299989238,5.684517299989238,6.700600199983455,7.650156900053844,f,0.8582579999929294,0.09037610003724694,7.65021260001231,7.665052699972875,8.650498399976641,,,,,,,,530925,001,2025-09-13_11h40.57.798,stroop_alimentario,2024.2.4,60.41576926997296,2025-09-13 11h41.07.275260 -0300,
congruente,images/AZUCAR.png,altas calorias,2,2,0,j,1.2784948999760672,0.0751232000766322,0,2,2,2,8.66431919997558,,,,,,,,,8.650618699961342,8.66431919997558,0.005610199994407594,9.149136899970472,9.165287400013767,9.17942249996122,9.17942249996122,9.17942249996122,10.178871299955063,11.148068999988027,j,1.2784948999760672,0.0751232000766322,11.148146799998358,11.162551600020379,12.147657599998638,,,,,,,,530925,001,2025-09-13_11h40.57.798,stroop_alimentario,2024.2.4,60.41576926997296,2025-09-13 11h41.07.275260 -0300,
congruente,images/BACON.png,altas calorias,3,3,0,j,0.9491855000378564,0.10984359995927662,0,3,3,3,12.163377300021239,,,,,,,,,12.147813000017777,12.163377300021239,0.0028087999671697617,12.647411499987356,12.657820399967022,12.67629410000518,12.67629410000518,12.67629410000518,13.676448500016704,14.660218799952418,j,0.9491855000378564,0.10984359995927662,14.660308300051838,14.674968100036494,15.646590300020762,,,,,,,,530925,001,2025-09-13_11h40.57.798,stroop_alimentario,2024.2.4,60.41576926997296,2025-09-13 11h41.07.275260 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.646713700029068,15.657135599991307,15.657135599991307,25.81702509999741,space,10.148556499974802,None,530925,001,2025-09-13_11h40.57.798,stroop_alimentario,2024.2.4,60.41576926997296,2025-09-13 11h41.07.275260 -0300,
