20.6300 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
20.6309 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_4', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
20.6320 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
20.6373 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Muchas gracias por participar del esperimento.', units='height', win=Window(...), wrapWidth=1)
0.0302 	INFO 	Keyboard events cleared
0.0296 	EXP 	text_2: autoDraw = True
1.9176 	DEBUG 	Read csv file with pandas: Conditions.csv
1.9224 	DEBUG 	Clearing unnamed columns from Conditions.csv
1.9240 	EXP 	Imported Conditions.csv as conditions, 80 conditions, 3 params
1.9272 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'Congruency': 'congruente', 'ImageFile': 'images/PIMIENTOS.png', 'CalorieLabels': 'bajas calorias', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.9322 	DATA 	Keypress: space
1.9440 	EXP 	text_2: autoDraw = False
1.9440 	EXP 	jitter: autoDraw = True
2.4613 	INFO 	Keyboard events cleared
2.4604 	EXP 	jitter: autoDraw = False
2.4604 	EXP 	image: image = 'images/PIMIENTOS.png'
2.4604 	EXP 	text_4: height = 0.05
2.4604 	EXP 	text_4: height = 0.05
2.4604 	EXP 	text_4: height = 0.05
2.4604 	EXP 	text_4: text = 'bajas calorias'
2.4604 	EXP 	image: autoDraw = True
2.4604 	EXP 	text_4: autoDraw = True
3.4611 	EXP 	text_4: autoDraw = False
4.4266 	EXP 	image: autoDraw = False
4.4266 	EXP 	text_4: autoDraw = False
4.4266 	EXP 	text: autoDraw = True
5.0606 	DATA 	Keypress: f
5.4151 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'Congruency': 'congruente', 'ImageFile': 'images/DONUT.png', 'CalorieLabels': 'altas calorias', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
5.4259 	EXP 	text: autoDraw = False
5.4259 	EXP 	jitter: autoDraw = True
5.9413 	INFO 	Keyboard events cleared
5.9406 	EXP 	jitter: autoDraw = False
5.9406 	EXP 	image: image = 'images/DONUT.png'
5.9406 	EXP 	text_4: height = 0.05
5.9406 	EXP 	text_4: height = 0.05
5.9406 	EXP 	text_4: height = 0.05
5.9406 	EXP 	text_4: text = 'altas calorias'
5.9406 	EXP 	image: autoDraw = True
5.9406 	EXP 	text_4: autoDraw = True
6.4936 	DATA 	Keypress: j
6.9564 	EXP 	text_4: autoDraw = False
7.9224 	EXP 	image: autoDraw = False
7.9224 	EXP 	text_4: autoDraw = False
7.9224 	EXP 	text: autoDraw = True
8.9065 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'Congruency': 'congruente', 'ImageFile': 'images/JUDIA.png', 'CalorieLabels': 'bajas calorias', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
8.9213 	EXP 	text: autoDraw = False
8.9213 	EXP 	jitter: autoDraw = True
9.4379 	INFO 	Keyboard events cleared
9.4372 	EXP 	jitter: autoDraw = False
9.4372 	EXP 	image: image = 'images/JUDIA.png'
9.4372 	EXP 	text_4: height = 0.05
9.4372 	EXP 	text_4: height = 0.05
9.4372 	EXP 	text_4: height = 0.05
9.4372 	EXP 	text_4: text = 'bajas calorias'
9.4372 	EXP 	image: autoDraw = True
9.4372 	EXP 	text_4: autoDraw = True
10.4364 	EXP 	text_4: autoDraw = False
10.7055 	DATA 	Keypress: j
11.4191 	EXP 	image: autoDraw = False
11.4191 	EXP 	text_4: autoDraw = False
11.4191 	EXP 	text: autoDraw = True
12.4067 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'Congruency': 'congruente', 'ImageFile': 'images/BROWNIE.png', 'CalorieLabels': 'altas calorias', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
12.4177 	EXP 	text: autoDraw = False
12.4177 	EXP 	jitter: autoDraw = True
12.9340 	INFO 	Keyboard events cleared
12.9334 	EXP 	jitter: autoDraw = False
12.9334 	EXP 	jitter: autoDraw = False
12.9334 	EXP 	image: image = 'images/BROWNIE.png'
12.9334 	EXP 	text_4: height = 0.05
12.9334 	EXP 	text_4: height = 0.05
12.9334 	EXP 	text_4: height = 0.05
12.9334 	EXP 	text_4: text = 'altas calorias'
12.9334 	EXP 	image: autoDraw = True
12.9334 	EXP 	text_4: autoDraw = True
13.4630 	DATA 	Keypress: f
13.9347 	EXP 	text_4: autoDraw = False
14.9319 	EXP 	image: autoDraw = False
14.9319 	EXP 	text_4: autoDraw = False
14.9319 	EXP 	text: autoDraw = True
15.9162 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'Congruency': 'congruente', 'ImageFile': 'images/ESPARRAGOS.png', 'CalorieLabels': 'bajas calorias', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
15.9313 	EXP 	text: autoDraw = False
15.9313 	EXP 	jitter: autoDraw = True
16.4478 	INFO 	Keyboard events cleared
16.4474 	EXP 	jitter: autoDraw = False
16.4474 	EXP 	image: image = 'images/ESPARRAGOS.png'
16.4474 	EXP 	text_4: height = 0.05
16.4474 	EXP 	text_4: height = 0.05
16.4474 	EXP 	text_4: height = 0.05
16.4474 	EXP 	text_4: text = 'bajas calorias'
16.4474 	EXP 	image: autoDraw = True
16.4474 	EXP 	text_4: autoDraw = True
16.9507 	DATA 	Keypress: j
17.4491 	EXP 	text_4: autoDraw = False
18.4302 	EXP 	image: autoDraw = False
18.4302 	EXP 	text_4: autoDraw = False
18.4302 	EXP 	text: autoDraw = True
19.4150 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'Congruency': 'congruente', 'ImageFile': 'images/HELADO.png', 'CalorieLabels': 'altas calorias', 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
19.4286 	EXP 	text: autoDraw = False
19.4286 	EXP 	jitter: autoDraw = True
19.9439 	INFO 	Keyboard events cleared
19.9435 	EXP 	jitter: autoDraw = False
19.9435 	EXP 	image: image = 'images/HELADO.png'
19.9435 	EXP 	text_4: height = 0.05
19.9435 	EXP 	text_4: height = 0.05
19.9435 	EXP 	text_4: height = 0.05
19.9435 	EXP 	text_4: text = 'altas calorias'
19.9435 	EXP 	image: autoDraw = True
19.9435 	EXP 	text_4: autoDraw = True
20.4030 	DATA 	Keypress: f
20.9430 	EXP 	text_4: autoDraw = False
