Congruency,ImageFile,CalorieLabels,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,jitter.started,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.02196330000879243,0.03506370005197823,0.03506370005197823,1.9691623999970034,space,1.9088300000294112,None,,,,087285,001,2025-08-28_05h09.06.167,stroop_alimentario,2024.2.4,60.06193586440883,2025-08-28 05h09.13.537163 -0300,
incongruente,/images/PANCHO.png,bajas calorias,0,0,0,0,0,0,69,1.999338900030125,,,,,,,,,1.9798866000492126,1.999338900030125,2.4698860000353307,,,,,,,,
