Congruency,ImageFile,CalorieLabels,thisN,thisTrialN,thisRepN,key_resp_3.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,jitter.started,trial.stopped,food1.started,image.started,key_resp_3.started,text_4.started,text_4.stopped,food1.stopped,trials.key_resp_3.keys,blank.started,text.started,blank.stopped,text.stopped,jitter.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.008846199954859912,0.024378499947488308,0.024378499947488308,1.4817731999792159,space,1.44173670001328,None,,,,,,,,,,,,,,,,527115,001,2025-09-13_02h47.22.850,stroop_alimentario,2024.2.4,59.188093254906605,2025-09-13 02h47.28.647937 -0300,
incongruente,images/BROCOLI.png,altas calorias,0,0,0,None,0,0,0,45,1.5067998999729753,,,,,,,,,1.488985399948433,1.5067998999729753,1.995134999975562,2.0122525000479072,2.072792600025423,2.072792600025423,2.072792600025423,3.0736000000033528,3.9929487999761477,None,3.9930240999674425,4.005577699979767,4.990456799976528,,,527115,001,2025-09-13_02h47.22.850,stroop_alimentario,2024.2.4,59.188093254906605,2025-09-13 02h47.28.647937 -0300,
congruente,images/CREMA.png,altas calorias,1,1,0,None,0,1,1,12,5.00407050002832,,,,,,,,,4.990686199977063,5.00407050002832,5.487723900005221,5.496659399941564,5.502830500015989,5.502830500015989,5.502830500015989,6.5034768000477925,7.489540299982764,None,7.489653200027533,7.501707899966277,8.489431699970737,,,527115,001,2025-09-13_02h47.22.850,stroop_alimentario,2024.2.4,59.188093254906605,2025-09-13 02h47.28.647937 -0300,
congruente,images/ZANAHORIA.png,bajas calorias,2,2,0,None,0,2,2,39,8.501607200014405,,,,,,,,,8.489683300023898,8.501607200014405,8.987161800032482,8.99912279995624,9.015761799993925,9.015761799993925,9.015761799993925,10.016876699985005,10.982300400035456,None,10.982345100026578,10.99806210002862,11.985105599975213,,,527115,001,2025-09-13_02h47.22.850,stroop_alimentario,2024.2.4,59.188093254906605,2025-09-13 02h47.28.647937 -0300,
congruente,images/PIZZA.png,altas calorias,3,3,0,None,0,3,3,34,11.996913800016046,,,,,,,,,11.98529260000214,11.996913800016046,12.485024099936709,12.50202250003349,12.5124952000333,12.5124952000333,12.5124952000333,13.513456500018947,14.482640099944547,None,14.482713300036266,14.495704000000842,15.482191400020383,15.494231499964371,,527115,001,2025-09-13_02h47.22.850,stroop_alimentario,2024.2.4,59.188093254906605,2025-09-13 02h47.28.647937 -0300,
congruente,images/TOMATES.png,bajas calorias,4,4,0,None,0,4,4,38,15.494231499964371,,,,,,,,,15.482473699958064,15.494231499964371,15.982638799934648,15.999331300030462,16.00924100005068,16.00924100005068,16.00924100005068,17.010044599999674,17.996193900005892,None,17.996270300005563,18.008828899939544,18.996594800031744,,16.00924100005068,527115,001,2025-09-13_02h47.22.850,stroop_alimentario,2024.2.4,59.188093254906605,2025-09-13 02h47.28.647937 -0300,
congruente,images/CEREZAS.png,bajas calorias,5,5,0,None,0,5,5,9,19.00784490001388,,,,,,,,,18.996830399963073,19.00784490001388,19.494340699980967,19.51014170004055,19.523445899947546,19.523445899947546,19.523445899947546,20.523387699970044,21.493078400031663,None,21.493155400035903,21.506344499997795,22.491797199938446,,,527115,001,2025-09-13_02h47.22.850,stroop_alimentario,2024.2.4,59.188093254906605,2025-09-13 02h47.28.647937 -0300,
incongruente,images/SOPA.png,altas calorias,6,6,0,None,0,6,6,76,22.504311400000006,,,,,,,,,22.49199749995023,22.504311400000006,22.990905200014822,23.004629999981262,23.01960420003161,23.01960420003161,23.01960420003161,24.019809699966572,24.98645349999424,None,24.986501300008968,25.00114740000572,25.986837600008585,,,527115,001,2025-09-13_02h47.22.850,stroop_alimentario,2024.2.4,59.188093254906605,2025-09-13 02h47.28.647937 -0300,
congruente,images/HUEVO.png,bajas calorias,7,7,0,,0,7,7,23,26.00111499999184,,,,,,,,,25.98700960003771,26.00111499999184,,,,,,,,,,,,,,,,,,,,,
