Congruency,ImageFile,CalorieLabels,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_3.keys,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,key_resp_3.rt,key_resp_3.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,jitter.started,etRecord.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,food1.started,image.started,key_resp_3.started,text_4.started,mouse_2.started,text_4.stopped,food1.stopped,trials.key_resp_3.keys,trials.mouse_2.x,trials.mouse_2.y,trials.mouse_2.leftButton,trials.mouse_2.midButton,trials.mouse_2.rightButton,trials.mouse_2.time,blank.started,text.started,mouse_3.started,blank.stopped,trials.mouse_3.x,trials.mouse_3.y,trials.mouse_3.leftButton,trials.mouse_3.midButton,trials.mouse_3.rightButton,trials.mouse_3.time,trials.key_resp_3.rt,trials.key_resp_3.duration,Thanks.started,text_3.started,key_resp_2.started,Thanks.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012472599977627397,0.027090499992482364,0.027090499992482364,1.9831390000181273,space,1.9376259999116883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380056,001,2025-09-13_11h57.03.363,stroop_alimentario,2024.2.4,60.181398752171155,2025-09-13 11h57.12.889771 -0300,
congruente,images/APIO.png,bajas calorias,0,0,0,[],[],[],[],[],[],None,[],[],[],[],[],[],[],[],[],[],[],[],,,0,0,0,0,2.0108613000484183,,,,,,,,,1.9874857000540942,2.0108613000484183,0.0043397999834269285,0.0043397999834269285,2.5005152999656275,[],[],[],[],[],[],2.529940100037493,2.557204099954106,2.557204099954106,2.557204099954106,0.04682159994263202,3.557480499963276,4.491856300039217,None,[],[],[],[],[],[],4.4919611000223085,4.5064236000180244,0.008821299998089671,5.491455900017172,[],[],[],[],[],[],,,,,,,,,,380056,001,2025-09-13_11h57.03.363,stroop_alimentario,2024.2.4,60.181398752171155,2025-09-13 11h57.12.889771 -0300,
congruente,images/AZUCAR.png,altas calorias,1,1,0,[],[],[],[],[],[],f,[],[],[],[],[],[],[],[],[],[],[],[],0.8597761000273749,0.1352337000425905,0,1,1,2,5.505522700026631,,,,,,,,,5.49168550001923,5.505522700026631,0.008541699964553118,0.008541699964553118,5.98349610005971,[],[],[],[],[],[],6.010651599965058,6.020880299969576,6.020880299969576,6.020880299969576,0.0275207000086084,7.024416400003247,7.988346199970692,f,[],[],[],[],[],[],7.9884334000526,8.00401979999151,0.005282399943098426,8.989601199980825,[],[],[],[],[],[],0.8597761000273749,0.1352337000425905,,,,,,,,380056,001,2025-09-13_11h57.03.363,stroop_alimentario,2024.2.4,60.181398752171155,2025-09-13 11h57.12.889771 -0300,
congruente,images/BACON.png,altas calorias,2,2,0,[],[],[],[],[],[],j,[],[],[],[],[],[],[],[],[],[],[],[],0.7889342999551445,0.12961140007246286,0,2,2,3,9.004049199982546,,,,,,,,,8.990124400006607,9.004049199982546,0.007013099966570735,0.007013099966570735,9.490351099986583,[],[],[],[],[],[],9.515843000030145,9.53642400004901,9.53642400004901,9.53642400004901,0.03274910000618547,10.551481000031345,11.487225100048818,j,[],[],[],[],[],[],11.487347900052555,11.499105300055817,0.0042001999681815505,12.485649400041439,[],[],[],[],[],[],0.7889342999551445,0.12961140007246286,,,,,,,,380056,001,2025-09-13_11h57.03.363,stroop_alimentario,2024.2.4,60.181398752171155,2025-09-13 11h57.12.889771 -0300,
congruente,images/ARROZ.png,bajas calorias,3,3,0,[],[],[],[],[],[],f,[],[],[],[],[],[],[],[],[],[],[],[],0.6022430000593886,0.11506800004281104,0,3,3,1,12.498358899960294,,,,,,,,,12.485851799952798,12.498358899960294,0.0027031999779865146,0.0027031999779865146,12.98410340002738,[],[],[],[],[],[],13.00118709995877,13.014760000049137,13.014760000049137,13.014760000049137,0.018045099917799234,14.03580009995494,14.999461999977939,f,[],[],[],[],[],[],14.999546900042333,15.012751700007357,0.016396199935115874,15.99824730004184,[],[],[],[],[],[],0.6022430000593886,0.11506800004281104,,,,,,,,380056,001,2025-09-13_11h57.03.363,stroop_alimentario,2024.2.4,60.181398752171155,2025-09-13 11h57.12.889771 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.998379500000738,16.011351500055753,16.011351500055753,383.0574201999698,space,367.0440897999797,None,380056,001,2025-09-13_11h57.03.363,stroop_alimentario,2024.2.4,60.181398752171155,2025-09-13 11h57.12.889771 -0300,
