Congruency,ImageFile,CalorieLabels,thisN,thisTrialN,thisRepN,key_resp_3.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,jitter.started,etRecord.started,trial.stopped,food1.started,image.started,key_resp_3.started,text_4.started,text_4.stopped,food1.stopped,trials.key_resp_3.keys,blank.started,text.started,blank.stopped,text.stopped,etRecord_2.stopped,jitter.stopped,image.stopped,key_resp_3.stopped,Thanks.started,text_3.started,key_resp_2.started,Thanks.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.02004909992683679,0.03526509995572269,0.03526509995572269,2.7583863999461755,space,2.7154485000064597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,593672,001,2025-09-13_11h48.20.159,stroop_alimentario,2024.2.4,59.85837512101083,2025-09-13 11h48.27.614260 -0300,
congruente,images/BACON.png,altas calorias,0,0,0,None,0,0,0,3,2.780418499954976,,,,,,,,,2.764507499989122,2.780418499954976,0.006091499933972955,3.26856959995348,3.2883491000393406,3.3299653999274597,3.3299653999274597,3.3299653999274597,4.330785400001332,5.26541739993263,None,5.265471899998374,5.278894399991259,6.290479099960066,,,,,,,,,,,,,593672,001,2025-09-13_11h48.20.159,stroop_alimentario,2024.2.4,59.85837512101083,2025-09-13 11h48.27.614260 -0300,
congruente,images/AZUCAR.png,altas calorias,1,1,0,None,0,1,1,2,6.31551230000332,,,,,,,,,6.290706499945372,6.31551230000332,0.03230599989183247,6.762375499936752,6.775775699992664,6.793985199998133,6.793985199998133,6.793985199998133,7.793037800001912,8.762439399957657,None,8.762491500005126,8.77678289997857,9.760964600020088,,,,,,,,,,,,,593672,001,2025-09-13_11h48.20.159,stroop_alimentario,2024.2.4,59.85837512101083,2025-09-13 11h48.27.614260 -0300,
congruente,images/ARROZ.png,bajas calorias,2,2,0,None,0,2,2,1,9.77556400001049,,,,,,,,,9.76110909995623,9.77556400001049,0.0026930999010801315,10.267102099955082,10.288699200027622,10.308967999997549,10.308967999997549,10.308967999997549,11.323049400001764,12.25982249993831,None,12.259862300008535,12.27205699996557,13.258527699974366,13.270714599988423,0.9991674999473616,,,,,,,,,,,593672,001,2025-09-13_11h48.20.159,stroop_alimentario,2024.2.4,59.85837512101083,2025-09-13 11h48.27.614260 -0300,
congruente,images/APIO.png,bajas calorias,3,3,0,None,0,3,3,0,13.270714599988423,,,,,,,,,13.258674199925736,13.270714599988423,0.0002590999938547611,13.75565840001218,13.76324979995843,13.770356299937703,13.770356299937703,13.770356299937703,14.769335799966939,15.755806499975733,None,15.755861699930392,15.76828039996326,16.759391900035553,,,13.770356299937703,15.76828039996326,15.76828039996326,,,,,,,,593672,001,2025-09-13_11h48.20.159,stroop_alimentario,2024.2.4,59.85837512101083,2025-09-13 11h48.27.614260 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.75946390000172,16.771143799996935,16.771143799996935,66.67635730002075,space,49.897814200026914,None,593672,001,2025-09-13_11h48.20.159,stroop_alimentario,2024.2.4,59.85837512101083,2025-09-13 11h48.27.614260 -0300,
