Congruency,ImageFile,CalorieLabels,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,jitter.started,etRecord.started,trial.stopped,food1.started,image.started,key_resp_3.started,text_4.started,text_4.stopped,food1.stopped,trials.key_resp_3.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,blank.started,text.started,blank.stopped,Thanks.started,text_3.started,key_resp_2.started,Thanks.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.014988800045102835,0.02638140006456524,0.02638140006456524,38.37589670007583,space,38.34717630001251,None,,,,,,,,,,,,,,,,,,,,,,,,968218,001,2025-09-13_11h24.57.143,stroop_alimentario,2024.2.4,60.41923701483223,2025-09-13 11h25.08.823710 -0300,
congruente,images/BACON.png,altas calorias,0,0,0,f,1.6120366000104696,0.11065689998213202,0,0,0,3,38.40814469999168,,,,,,,,,38.38116980006453,38.40814469999168,0.005275100003927946,38.87927450006828,38.898572999984026,38.941883100080304,38.941883100080304,38.941883100080304,39.97844490001444,40.87604480003938,f,1.6120366000104696,0.11065689998213202,40.87609360006172,40.90408600005321,41.8786341000814,,,,,,,,968218,001,2025-09-13_11h24.57.143,stroop_alimentario,2024.2.4,60.41923701483223,2025-09-13 11h25.08.823710 -0300,
congruente,images/ARROZ.png,bajas calorias,1,1,0,f,1.6281836000271142,0.08898120000958443,0,1,1,1,41.903967300080694,,,,,,,,,41.87875110004097,41.903967300080694,0.002851800061762333,42.38953140005469,42.408759300014935,42.420995800057426,42.420995800057426,42.420995800057426,43.45239790005144,44.386795700062066,f,1.6281836000271142,0.08898120000958443,44.386844300082885,44.418003399972804,45.386079400079325,,,,,,,,968218,001,2025-09-13_11h24.57.143,stroop_alimentario,2024.2.4,60.41923701483223,2025-09-13 11h25.08.823710 -0300,
congruente,images/APIO.png,bajas calorias,2,2,0,j,0.9008202999830246,0.15055850008502603,0,2,2,0,45.41664479998872,,,,,,,,,45.38619109999854,45.41664479998872,0.010290900012478232,45.892984400037676,45.90904950001277,45.91762090008706,45.91762090008706,45.91762090008706,46.9492167000426,47.89990800002124,j,0.9008202999830246,0.15055850008502603,47.899959800066426,47.93113749998156,48.88578900007997,,,,,,,,968218,001,2025-09-13_11h24.57.143,stroop_alimentario,2024.2.4,60.41923701483223,2025-09-13 11h25.08.823710 -0300,
congruente,images/AZUCAR.png,altas calorias,3,3,0,f,1.2555397999240085,0.1868629000382498,0,3,3,2,48.914266900043,,,,,,,,,48.88591239997186,48.914266900043,0.010014700004830956,49.384254900040105,49.40363379998598,49.41509969998151,49.41509969998151,49.41509969998151,50.462748800055124,51.39755930006504,f,1.2555397999240085,0.1868629000382498,51.3976228000829,51.42800519999582,52.377989900065586,,,,,,,,968218,001,2025-09-13_11h24.57.143,stroop_alimentario,2024.2.4,60.41923701483223,2025-09-13 11h25.08.823710 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.37806570006069,52.41071460000239,52.41071460000239,59.207707899971865,space,6.792683800100349,None,968218,001,2025-09-13_11h24.57.143,stroop_alimentario,2024.2.4,60.41923701483223,2025-09-13 11h25.08.823710 -0300,
